ID	Rejec	IME	r	k20	a30	KoagRazred	Mascoba	proteini	Laktoza	SS	ZmrzTocka	Urea	SSC	KapaKazein	Datum	Z	CRE_SIFRA_CREDA	STLAKT	DAT_TELITVE	DIM
74241329	Jan	Bosa	816	95	38	A	4.5	3.47	4.7	8.9	-0.528	11.7	212	NA	2017-11-08	zjutraj	3262	3	2017-03-23 00:00:00	230
74275870	Verdev	Liska	0	0	0	F	4.47	4	4.08	8.81	-0.53	9.4	423		2017-10-26	zjutraj	9624	3	2017-03-10 00:00:00	230
74294066	Popic	Syra	980	136	38	B	5.58	4.06	4.46	9.25	-0.521	15.4	193	AB	2017-11-07	zjutraj	7480	2	2017-05-01 01:00:00	190
74294080	Popic	Morava	0	0	0	F	4.15	3.64	4.43	8.8	-0.532	15.7	58	AB	2017-11-07	zjutraj	7480	2	2017-07-27 01:00:00	103
74298565	Pececnik	Sivila	641	99	40	D	4.42	3.88	4.72	9.33	-0.524	19.6	98	AB	2017-10-16	zjutraj	7177	2	2016-10-31 00:00:00	350
74303009	Knez	Mula	1067	105.5	34	A	3.95	3.13	4.48	8.34	-0.521	16.4	2021		2017-11-02	zjutraj	3984	2	2017-05-22 01:00:00	164
74378090	Pececnik	Vanja	1283	114	38	B	2.78	3.44	4.76	8.93	-0.535	23.3	11	BB	2017-10-16	zjutraj	7177	2	2017-08-11 01:00:00	66
74446995	Verdev	Zafira	1043	204	35	A	4.97	3.37	4.72	8.82	-0.529	7.3	411		2017-10-26	zjutraj	9624	1	2017-03-05 00:00:00	235
74543243	Verdel	Muca	602.5	107.5	50.5	D	4.45	3.2	4.7	8.63	-0.518	5.6	103	cb	2017-10-25	zvecer	30033	1	2017-03-02 00:00:00	237
74565401	Pececnik	Ani	968.5	113	38	A	6.14	3.49	4.39	8.61	-0.524	18.7	146	BB	2017-10-16	zjutraj	7177	1	2016-12-30 00:00:00	290
83737138	Jan	coka	1044.5	123	36.5	A	3.8	2.99	4.49	8.21	-0.522	5.6	205	BB	2017-11-08	zjutraj	3262	6	2017-10-18 01:00:00	21
83754391	Rakun	Zaharija	617	104	46	D	3.09	3.08	4.66	8.48	-0.536	15.8	50	BB	2017-11-06	zjutraj	7871	5	2017-09-21 01:00:00	46
