Rejec,ID,IME,r,k20,a30,KoagRazred,Mascoba,proteini,Laktoza,SS,ZmrzTocka,Urea,SSC,KapaKazein
Verdel,64415060,Bina,574,104,46.5,D,4.2,2.89,4.76,8.38,-0.532,1.6,26,cb
Arlic,64494140,Holca,902,139,40,A,4.32,3.46,4.6,8.78,-0.53,11.9,35,AB
Oblak,73750264,Cita,1283,109,32.5,B,5.57,4.32,4.95,10,-0.534,4.9,223,AB
Arlic,73856494,Sofija,998.5,102.5,43,A,4.17,3.81,4.34,8.87,-0.529,14.7,538,BB
Popic,73882600,Sahila,988,106,43,A,4.96,4.03,4.69,9.45,-0.53,13.3,22,BB
Oblak,73946708,Srcka,609.5,104,44,D,5.68,4.52,4.47,9.73,-0.524,8,34,BB
Knez,73948889,Murka,1260,122,38,B,4.06,3.99,4.75,9.47,-0.538,19.3,82,
Oblak,74056219,Srna,1523.5,112,30.5,F,4.75,3.59,4.8,9.11,-0.526,8.1,67,BB
Verdev,74151125,Lepa,658,151,45,D,4.4,3.97,4.72,9.42,-0.542,6.9,200,
Rakun,74155693,Zanka,1329,113,36,B,3.94,4.06,4.44,9.23,-0.529,16.8,214,BB
Vasle,74191011,Dama,711,110.5,44.5,A,3.5,3.77,4.66,9.17,-0.523,8.7,606,BB
Lesjak,74234299,Draga,1142.5,109.5,40.5,B,4.06,3.71,4.39,8.83,-0.515,13.7,628,BB
Jan,74241329,Bosa,816,95,38,A,4.5,3.47,4.7,8.9,-0.528,11.7,212,NA
Verdev,74275870,Liska,0,0,0,F,4.47,4,4.08,8.81,-0.53,9.4,423,
Popic,74294066,Syra,980,136,38,B,5.58,4.06,4.46,9.25,-0.521,15.4,193,AB
Popic,74294080,Morava,0,0,0,F,4.15,3.64,4.43,8.8,-0.532,15.7,58,AB
Pececnik,74298565,Sivila,641,99,40,D,4.42,3.88,4.72,9.33,-0.524,19.6,98,AB
Knez,74303009,Mula,1067,105.5,34,A,3.95,3.13,4.48,8.34,-0.521,16.4,2021,
Pececnik,74378090,Vanja,1283,114,38,B,2.78,3.44,4.76,8.93,-0.535,23.3,11,BB
Verdev,74446995,Zafira,1043,204,35,A,4.97,3.37,4.72,8.82,-0.529,7.3,411,
Verdel,74543243,Muca,602.5,107.5,50.5,D,4.45,3.2,4.7,8.63,-0.518,5.6,103,cb
Pececnik,74565401,Ani,968.5,113,38,A,6.14,3.49,4.39,8.61,-0.524,18.7,146,BB
Jan,83737138,coka,1044.5,123,36.5,A,3.8,2.99,4.49,8.21,-0.522,5.6,205,BB
Rakun,83754391,Zaharija,617,104,46,D,3.09,3.08,4.66,8.48,-0.536,15.8,50,BB
Oblak,83920349,Sidra,0,0,0,F,4.71,3.72,4.52,8.97,-0.525,11.1,2943,AB
Tajnik,83948864,Jata,0,0,0,F,4.24,3.92,4.11,8.75,-0.522,10.9,776,AB
